time_stamp, total time, matches num, keypoints num, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1669817758.21055436,0.15927069,214,299,0,419483,0.00000000,421329,2705,40445920,0.00000000
1669817758.31324553,0.16015706,214,303,0,421329,0.00000000,423055,2493,40445920,0.00000000
1669817758.41335988,0.16137843,190,314,0,423055,0.00000000,424879,3082,40445920,0.00000000
1669817758.51328659,0.16366986,166,324,0,424879,0.00000000,426705,2784,40445920,0.00000000
1669817758.61212802,0.15504482,163,329,0,426705,0.00000000,428901,3001,40445920,0.00000000
1669817758.71226144,0.16670581,221,350,0,428901,0.00000000,431006,3026,40445920,0.00000000
1669817758.81195402,0.16310523,247,343,0,430940,0.00000000,433029,3376,40445920,0.00000000
1669817758.91232371,0.16201870,197,315,0,433029,0.00000000,435285,3554,40445920,0.00000000
1669817759.01354194,0.15756092,198,295,0,435285,0.00000000,436917,2454,40445920,0.00000000
1669817759.11144423,0.16771529,194,299,0,436917,0.00000000,438952,3080,40445920,0.00000000
1669817759.21086836,0.15484538,167,320,0,437759,0.00000000,439713,2683,40445920,0.00000000
1669817759.31068492,0.16823855,228,309,0,439627,0.00000000,441403,2670,40445920,0.00000000
1669817759.41182399,0.15808003,201,307,0,441403,0.00000000,443368,3009,40445920,0.00000000
1669817759.51321864,0.17160212,201,329,0,443368,0.00000000,444127,2822,40445920,0.00000000
1669817759.61316299,0.15872552,199,313,0,444127,0.00000000,445860,2845,40445920,0.00000000
1669817759.71232247,0.17099312,204,291,0,445860,0.00000000,447653,3089,40445920,0.00000000
1669817759.81226802,0.15881317,195,326,0,447653,0.00000000,449340,2974,40445920,0.00000000
1669817759.91217566,0.16547280,186,290,0,449191,0.00000000,451152,3711,40445920,0.00000000
1669817760.01272368,0.16384486,182,289,0,451152,0.00000000,452974,2692,40445920,0.00000000
1669817760.11358953,0.16250755,226,334,0,452974,0.00000000,454612,2938,40445920,0.00000000
1669817760.21309447,0.16667897,183,309,0,454612,0.00000000,456522,2974,40445920,0.00000000
1669817760.31345201,0.16537494,173,327,0,454625,0.00000000,456395,2850,40445920,0.00000000
1669817760.41367769,0.16275699,240,330,0,456395,0.00000000,458431,3235,40445920,0.00000000
1669817760.51435137,0.16629266,221,339,0,458290,0.00000000,459473,2870,40445920,0.00000000
1669817760.61430693,0.16206926,212,338,0,459366,0.00000000,460975,2647,40445920,0.00000000
1669817760.71562123,0.16915624,214,326,0,460975,0.00000000,462783,3039,40445920,0.00000000
1669817760.81617522,0.17699500,223,332,0,462783,0.00000000,464797,3083,40445920,0.00000000
1669817760.91399336,0.17210360,207,334,0,464508,0.00000000,466402,3982,40445920,0.00000000
1669817761.01280832,0.18080181,210,329,0,466402,0.00000000,468332,3174,40445920,0.00000000
1669817761.11298108,0.17711127,234,338,0,468332,0.00000000,470157,2685,40445920,0.00000000
1669817761.21249962,0.17309635,251,335,0,470157,0.00000000,471974,3521,40445920,0.00000000
1669817761.31298161,0.17650752,179,307,0,471974,0.00000000,473169,2700,40445920,0.00000000
1669817761.41412187,0.17695200,230,310,0,473169,0.00000000,475064,3288,40445920,0.00000000
1669817761.51403213,0.17714892,201,332,0,475064,0.00000000,476576,3403,40445920,0.00000000
1669817761.61445761,0.18391652,200,333,0,474129,0.00000000,475429,3059,40445920,0.00000000
1669817761.71333790,0.18320352,227,325,0,475429,0.00000000,476605,2773,40445920,0.00000000
1669817761.81442261,0.17511425,250,367,0,476605,0.00000000,478411,2621,40445920,0.00000000
1669817761.91181064,0.18134948,248,346,0,478411,0.00000000,480624,3490,40445920,0.00000000
1669817762.01240826,0.17229472,216,354,0,480624,0.00000000,481473,3232,40445920,0.00000000
1669817762.11283422,0.19175007,196,345,0,481473,0.00000000,483324,2673,40445920,0.00000000
1669817762.21177864,0.18593190,206,345,0,480452,0.00000000,482837,3579,40445920,0.00000000
1669817762.31304789,0.17969907,197,303,0,482837,0.00000000,484429,2824,40445920,0.00000000
1669817762.41417551,0.17219334,197,315,0,484429,0.00000000,486226,2971,40445920,0.00000000
1669817762.51588392,0.18072473,253,340,0,486226,0.00000000,488206,3227,40445920,0.00000000
1669817762.60556626,0.17215195,201,317,0,488206,0.00000000,489813,2623,40445920,0.00000000
1669817762.70655751,0.17686521,209,334,0,489813,0.00000000,491385,2436,40445920,0.00000000
1669817762.80623221,0.17624482,237,335,0,491385,0.00000000,492670,2393,40445920,0.00000000
1669817762.90553808,0.18021243,260,325,0,492670,0.00000000,494035,2732,40445920,0.00000000
